,Period,Sex,Age,Count
0,2008,Male,Infant,198
1,2008,Male,14,45
2,2008,Male,59,18
3,2008,Male,1014,33
4,2008,Male,1519,132
5,2008,Male,2024,153
6,2008,Male,2529,120
7,2008,Male,3034,123
8,2008,Male,3539,189
9,2008,Male,4044,249
10,2008,Male,4549,366
11,2008,Male,5054,477
12,2008,Male,5559,711
13,2008,Male,6064,978
14,2008,Male,6569,1260
15,2008,Male,7074,1506
16,2008,Male,7579,2148
17,2008,Male,8084,2529
18,2008,Male,8589,2040
19,2008,Male,9094,978
20,2008,Male,9599,249
21,2008,Male,100 and over,39
