Period,Sex,Age,Count
2008,Male,Infant,198
2008,Male,14,45
2008,Male,59,18
2008,Male,1014,33
2008,Male,1519,132
2008,Male,2024,153
2008,Male,2529,120
2008,Male,3034,123
2008,Male,3539,189
2008,Male,4044,249
2008,Male,4549,366
2008,Male,5054,477
2008,Male,5559,711
2008,Male,6064,978
2008,Male,6569,1260
2008,Male,7074,1506
2008,Male,7579,2148
2008,Male,8084,2529
2008,Male,8589,2040
2008,Male,9094,978
2008,Male,9599,249
2008,Male,100 and over,39
2008,Male,Total,14535
2008,Female,Infant,126
2008,Female,14,36
2008,Female,59,18
2008,Female,1014,18
2008,Female,1519,66
2008,Female,2024,54
2008,Female,2529,54
2008,Female,3034,63
2008,Female,3539,132
2008,Female,4044,177
2008,Female,4549,240
2008,Female,5054,345
2008,Female,5559,567
2008,Female,6064,684
2008,Female,6569,858
2008,Female,7074,1146
2008,Female,7579,1611
2008,Female,8084,2367
2008,Female,8589,2847
2008,Female,9094,2151
2008,Female,9599,918
2008,Female,100 and over,171
2008,Female,Total,14655
2008,Total,Infant,321
2008,Total,14,81
2008,Total,59,39
2008,Total,1014,51
2008,Total,1519,195
2008,Total,2024,207
2008,Total,2529,171
2008,Total,3034,189
2008,Total,3539,324
2008,Total,4044,426
2008,Total,4549,603
2008,Total,5054,822
2008,Total,5559,1278
2008,Total,6064,1662
2008,Total,6569,2118
2008,Total,7074,2655
2008,Total,7579,3762
2008,Total,8084,4893
2008,Total,8589,4884
2008,Total,9094,3129
2008,Total,9599,1167
2008,Total,100 and over,210
2008,Total,Total,29187
2009,Male,Infant,168
2009,Male,14,36
2009,Male,59,12
2009,Male,1014,27
2009,Male,1519,132
2009,Male,2024,153
2009,Male,2529,108
2009,Male,3034,162
2009,Male,3539,174
2009,Male,4044,252
2009,Male,4549,369
2009,Male,5054,528
2009,Male,5559,654
2009,Male,6064,990
2009,Male,6569,1248
2009,Male,7074,1533
2009,Male,7579,2055
2009,Male,8084,2442
2009,Male,8589,2070
2009,Male,9094,1014
2009,Male,9599,318
2009,Male,100 and over,33
2009,Male,Total,14478
2009,Female,Infant,138
2009,Female,14,33
2009,Female,59,21
2009,Female,1014,27
2009,Female,1519,54
2009,Female,2024,45
2009,Female,2529,66
2009,Female,3034,63
2009,Female,3539,117
2009,Female,4044,183
2009,Female,4549,291
2009,Female,5054,408
2009,Female,5559,462
2009,Female,6064,681
2009,Female,6569,870
2009,Female,7074,1125
2009,Female,7579,1470
2009,Female,8084,2352
2009,Female,8589,2895
2009,Female,9094,2136
2009,Female,9599,864
2009,Female,100 and over,186
2009,Female,Total,14484
2009,Total,Infant,306
2009,Total,14,72
2009,Total,59,33
2009,Total,1014,54
2009,Total,1519,183
2009,Total,2024,201
2009,Total,2529,174
2009,Total,3034,225
2009,Total,3539,288
2009,Total,4044,438
2009,Total,4549,660
2009,Total,5054,939
2009,Total,5559,1113
2009,Total,6064,1668
2009,Total,6569,2118
2009,Total,7074,2661
2009,Total,7579,3522
2009,Total,8084,4794
2009,Total,8589,4962
2009,Total,9094,3150
2009,Total,9599,1179
2009,Total,100 and over,219
2009,Total,Total,28962
2010,Male,Infant,186
2010,Male,14,36
2010,Male,59,12
2010,Male,1014,24
2010,Male,1519,117
2010,Male,2024,141
2010,Male,2529,96
2010,Male,3034,99
2010,Male,3539,177
2010,Male,4044,240
2010,Male,4549,399
2010,Male,5054,519
2010,Male,5559,711
2010,Male,6064,936
2010,Male,6569,1197
2010,Male,7074,1485
2010,Male,7579,1896
2010,Male,8084,2469
2010,Male,8589,2085
2010,Male,9094,1044
2010,Male,9599,318
2010,Male,100 and over,39
2010,Male,Total,14223
2010,Female,Infant,141
2010,Female,14,30
2010,Female,59,6
2010,Female,1014,18
2010,Female,1519,51
2010,Female,2024,51
2010,Female,2529,57
2010,Female,3034,75
2010,Female,3539,108
2010,Female,4044,189
2010,Female,4549,285
2010,Female,5054,369
2010,Female,5559,462
2010,Female,6064,684
2010,Female,6569,855
2010,Female,7074,1095
2010,Female,7579,1455
2010,Female,8084,2271
2010,Female,8589,2835
2010,Female,9094,2124
2010,Female,9599,894
2010,Female,100 and over,165
2010,Female,Total,14214
2010,Total,Infant,327
2010,Total,14,63
2010,Total,59,18
2010,Total,1014,42
2010,Total,1519,168
2010,Total,2024,189
2010,Total,2529,150
2010,Total,3034,174
2010,Total,3539,285
2010,Total,4044,432
2010,Total,4549,681
2010,Total,5054,891
2010,Total,5559,1173
2010,Total,6064,1617
2010,Total,6569,2052
2010,Total,7074,2580
2010,Total,7579,3351
2010,Total,8084,4740
2010,Total,8589,4920
2010,Total,9094,3168
2010,Total,9599,1215
2010,Total,100 and over,201
2010,Total,Total,28437
2011,Male,Infant,168
2011,Male,14,36
2011,Male,59,6
2011,Male,1014,27
2011,Male,1519,126
2011,Male,2024,147
2011,Male,2529,111
2011,Male,3034,123
2011,Male,3539,147
2011,Male,4044,258
2011,Male,4549,342
2011,Male,5054,498
2011,Male,5559,738
2011,Male,6064,981
2011,Male,6569,1233
2011,Male,7074,1584
2011,Male,7579,1971
2011,Male,8084,2502
2011,Male,8589,2286
2011,Male,9094,1173
2011,Male,9599,327
2011,Male,100 and over,39
2011,Male,Total,14823
2011,Female,Infant,120
2011,Female,14,18
2011,Female,59,9
2011,Female,1014,15
2011,Female,1519,48
2011,Female,2024,78
2011,Female,2529,66
2011,Female,3034,81
2011,Female,3539,117
2011,Female,4044,180
2011,Female,4549,270
2011,Female,5054,366
2011,Female,5559,492
2011,Female,6064,726
2011,Female,6569,945
2011,Female,7074,1167
2011,Female,7579,1512
2011,Female,8084,2349
2011,Female,8589,3051
2011,Female,9094,2457
2011,Female,9599,999
2011,Female,100 and over,189
2011,Female,Total,15258
2011,Total,Infant,288
2011,Total,14,57
2011,Total,59,15
2011,Total,1014,39
2011,Total,1519,174
2011,Total,2024,222
2011,Total,2529,174
2011,Total,3034,204
2011,Total,3539,264
2011,Total,4044,438
2011,Total,4549,612
2011,Total,5054,864
2011,Total,5559,1233
2011,Total,6064,1710
2011,Total,6569,2175
2011,Total,7074,2748
2011,Total,7579,3480
2011,Total,8084,4851
2011,Total,8589,5340
2011,Total,9094,3633
2011,Total,9599,1323
2011,Total,100 and over,231
2011,Total,Total,30081
2012,Male,Infant,144
2012,Male,14,33
2012,Male,59,18
2012,Male,1014,30
2012,Male,1519,117
2012,Male,2024,135
2012,Male,2529,120
2012,Male,3034,93
2012,Male,3539,147
2012,Male,4044,237
2012,Male,4549,369
2012,Male,5054,531
2012,Male,5559,675
2012,Male,6064,963
2012,Male,6569,1290
2012,Male,7074,1659
2012,Male,7579,1905
2012,Male,8084,2541
2012,Male,8589,2415
2012,Male,9094,1251
2012,Male,9599,351
2012,Male,100 and over,33
2012,Male,Total,15057
2012,Female,Infant,114
2012,Female,14,30
2012,Female,59,12
2012,Female,1014,18
2012,Female,1519,54
2012,Female,2024,54
2012,Female,2529,36
2012,Female,3034,78
2012,Female,3539,87
2012,Female,4044,180
2012,Female,4549,297
2012,Female,5054,405
2012,Female,5559,456
2012,Female,6064,669
2012,Female,6569,864
2012,Female,7074,1164
2012,Female,7579,1524
2012,Female,8084,2256
2012,Female,8589,3006
2012,Female,9094,2484
2012,Female,9599,1062
2012,Female,100 and over,189
2012,Female,Total,15042
2012,Total,Infant,258
2012,Total,14,63
2012,Total,59,30
2012,Total,1014,48
2012,Total,1519,171
2012,Total,2024,192
2012,Total,2529,153
2012,Total,3034,174
2012,Total,3539,231
2012,Total,4044,420
2012,Total,4549,663
2012,Total,5054,933
2012,Total,5559,1131
2012,Total,6064,1632
2012,Total,6569,2157
2012,Total,7074,2823
2012,Total,7579,3429
2012,Total,8084,4797
2012,Total,8589,5418
2012,Total,9094,3732
2012,Total,9599,1416
2012,Total,100 and over,225
2012,Total,Total,30099
2013,Male,Infant,147
2013,Male,14,24
2013,Male,59,12
2013,Male,1014,15
2013,Male,1519,102
2013,Male,2024,126
2013,Male,2529,102
2013,Male,3034,93
2013,Male,3539,144
2013,Male,4044,228
2013,Male,4549,360
2013,Male,5054,534
2013,Male,5559,717
2013,Male,6064,936
2013,Male,6569,1278
2013,Male,7074,1668
2013,Male,7579,1905
2013,Male,8084,2457
2013,Male,8589,2460
2013,Male,9094,1215
2013,Male,9599,342
2013,Male,100 and over,63
2013,Male,Total,14931
2013,Female,Infant,114
2013,Female,14,27
2013,Female,59,12
2013,Female,1014,18
2013,Female,1519,48
2013,Female,2024,45
2013,Female,2529,39
2013,Female,3034,66
2013,Female,3539,96
2013,Female,4044,168
2013,Female,4549,258
2013,Female,5054,435
2013,Female,5559,486
2013,Female,6064,708
2013,Female,6569,906
2013,Female,7074,1140
2013,Female,7579,1536
2013,Female,8084,2145
2013,Female,8589,2877
2013,Female,9094,2334
2013,Female,9599,993
2013,Female,100 and over,189
2013,Female,Total,14640
2013,Total,Infant,261
2013,Total,14,51
2013,Total,59,27
2013,Total,1014,30
2013,Total,1519,150
2013,Total,2024,171
2013,Total,2529,138
2013,Total,3034,159
2013,Total,3539,240
2013,Total,4044,399
2013,Total,4549,621
2013,Total,5054,969
2013,Total,5559,1203
2013,Total,6064,1644
2013,Total,6569,2181
2013,Total,7074,2805
2013,Total,7579,3444
2013,Total,8084,4602
2013,Total,8589,5337
2013,Total,9094,3549
2013,Total,9599,1338
2013,Total,100 and over,252
2013,Total,Total,29568
2014,Male,Infant,180
2014,Male,14,30
2014,Male,59,27
2014,Male,1014,15
2014,Male,1519,90
2014,Male,2024,120
2014,Male,2529,102
2014,Male,3034,111
2014,Male,3539,150
2014,Male,4044,219
2014,Male,4549,342
2014,Male,5054,564
2014,Male,5559,705
2014,Male,6064,951
2014,Male,6569,1392
2014,Male,7074,1656
2014,Male,7579,1986
2014,Male,8084,2508
2014,Male,8589,2541
2014,Male,9094,1509
2014,Male,9599,411
2014,Male,100 and over,48
2014,Male,Total,15654
2014,Female,Infant,144
2014,Female,14,24
2014,Female,59,9
2014,Female,1014,12
2014,Female,1519,33
2014,Female,2024,39
2014,Female,2529,51
2014,Female,3034,54
2014,Female,3539,78
2014,Female,4044,168
2014,Female,4549,240
2014,Female,5054,414
2014,Female,5559,549
2014,Female,6064,717
2014,Female,6569,915
2014,Female,7074,1188
2014,Female,7579,1611
2014,Female,8084,2355
2014,Female,8589,2958
2014,Female,9094,2595
2014,Female,9599,1050
2014,Female,100 and over,201
2014,Female,Total,15408
2014,Total,Infant,327
2014,Total,14,54
2014,Total,59,39
2014,Total,1014,27
2014,Total,1519,120
2014,Total,2024,159
2014,Total,2529,153
2014,Total,3034,165
2014,Total,3539,228
